,name,tensor_util,single_util,double_util,time_%,time_ms,calls,avg_ms
17,volta_sgemm_128x128_nn,0,9,0,16.506549,2.92081,1491,1.9589599999999998
42,volta_sgemm_32x128_nt,0,5,0,13.598764000000001,2.406282,4473,0.537956
11,volta_sgemm_128x64_tn,0,0,0,12.07577,2.13679,1491,1.433125
38,volta_sgemm_64x32_sliced1x4_nn,0,4,0,8.163969999999999,1.444603,183432,0.007875
25,"void at::native::_GLOBAL__N__54_tmpxft_000035b1_00000000_12_SoftMax_compute_80_cpp1_ii_a3310042::cunn_SoftMaxBackward<int=4, float, float, float, at::native::_GLOBAL__N__54_tmpxft_000035b1_00000000_12_SoftMax_compute_80_cpp1_ii_a3310042::LogSoftMaxBackwardEpilogue>(float*, float*, float, int)",0,1,0,7.912942,1.400184,1491,0.93909
3,"void at::native::_GLOBAL__N__54_tmpxft_000035b1_00000000_12_SoftMax_compute_80_cpp1_ii_a3310042::cunn_SoftMaxForward<int=4, float, float, float, at::native::_GLOBAL__N__54_tmpxft_000035b1_00000000_12_SoftMax_compute_80_cpp1_ii_a3310042::LogSoftMaxForwardEpilogue>(float*, float*, int)",0,2,0,7.719291,1.365917,1491,0.916108
44,volta_sgemm_32x32_sliced1x4_nn,0,0,0,5.801705,1.0266030000000002,65554,0.01566
41,"void at::native::vectorized_elementwise_kernel<int=4, at::native::AddFunctor<float>, at::detail::Array<char*, int=3>>(int, float, at::native::AddFunctor<float>)",0,1,0,3.564347,0.630706,32791,0.019234
4,_ZN2at6native27unrolled_elementwise_kernelIZZZNS0_21copy_device_to_deviceERNS_14TensorIteratorEbENKUlvE0_clEvENKUlvE6_clEvEUlfE_NS_6detail5ArrayIPcLi2EEE16OffsetCalculatorILi1EjESC_NS0_6memory15LoadWithoutCastENSD_16StoreWithoutCastEEEviT_T0_T1_T2_T3_T4_,0,5,0,2.468224,0.436749,1491,0.292923
43,volta_sgemm_64x32_sliced1x4_nt,0,8,0,2.464193,0.43603500000000006,5964,0.073111
45,[CUDA memset],0,0,0,2.3174360000000003,0.410067,83454,0.004913
37,"void splitKreduce_kernel<float, float, float, float>(cublasSplitKParams<float>, float const *, float const *, float*, float const *, float const *, float const *)",0,1,0,2.30268,0.407456,170024,0.002396
