==32426== NVPROF is profiling process 32426, command: /home/ruipan/anaconda3/bin/python cv_benchmark.py --apex-amp O0 --model resnet18 --dataset cifar10 --batch-size 16 --epochs 1
==32426== Profiling application: /home/ruipan/anaconda3/bin/python cv_benchmark.py --apex-amp O0 --model resnet18 --dataset cifar10 --batch-size 16 --epochs 1
==32426== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,s,,ms,us,ms,
"GPU activities",10.879934,3.378728,59381,0.056899,31.680000,0.127390,"volta_sgemm_64x64_nt"
"GPU activities",10.685696,3.318408,825508,0.004019,1.151000,0.130847,"void at::native::vectorized_elementwise_kernel<int=4, at::native::AddFunctor<float>, at::detail::Array<char*, int=3>>(int, float, at::native::AddFunctor<float>)"
"GPU activities",6.034240,1.873914,3128,0.599077,172.670000,0.671127,"void cudnn::cnn::wgrad_alg1_engine<float, int=128, int=6, int=7, int=3, int=3, int=5, bool=0, bool=0>(int, int, int, float const *, int, float*, float const , kernel_grad_params, __int64, int, float, float, int, int, int*, kernel_grad_params, int, int)"
"GPU activities",5.563262,1.727653,19467,0.088747,23.872000,0.234301,"volta_sgemm_64x64_nn"
"GPU activities",5.363925,1.665749,69475,0.023976,3.616000,0.074207,"void cudnn::winograd_nonfused::winogradForwardFilter4x4<float, float>(cudnn::winograd_nonfused::WinogradFilterParams<float, float>)"
"GPU activities",5.167610,1.604784,9379,0.171104,33.887000,0.445051,"void cudnn::cnn::wgrad_alg1_engine<float, int=128, int=5, int=5, int=3, int=3, int=3, bool=0, bool=0>(int, int, int, float const *, int, float*, float const , kernel_grad_params, __int64, int, float, float, int, int, int*, kernel_grad_params, int, int)"
"GPU activities",4.838693,1.502640,18941,0.079332,17.184000,1.106546,"void implicit_convolve_sgemm<float, float, int=128, int=5, int=5, int=3, int=3, int=3, int=1, bool=0, bool=1, bool=1>(int, int, int, float const *, int, float*, float const *, kernel_conv_params, __int64, int, float, float, int, float const *, float const *, bool, int, int)"
"GPU activities",4.333213,1.345665,18752,0.071761,7.360000,0.097471,"volta_sgemm_128x32_nt"
"GPU activities",4.015893,1.247122,12530,0.099530,14.176000,2.308546,"volta_gcgemm_64x32_nt"
"GPU activities",3.153930,0.979443,12830,0.076340,29.823000,2.792476,"volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1"
"GPU activities",2.895882,0.899307,3126,0.287686,278.332000,0.326940,"void cudnn::detail::dgrad_alg1_engine<float, int=512, int=6, int=5, int=3, int=3, int=3, bool=0, bool=1>(int, int, int, float const *, int, float const , int, cudnn::detail::dgrad_alg1_engine<float, int=512, int=6, int=5, int=3, int=3, int=3, bool=0, bool=1>*, kernel_grad_params, __int64, int, float, int)"
"GPU activities",2.854317,0.886399,3127,0.283466,171.358000,0.318556,"void cudnn::detail::dgrad2d_alg1_1<float, int=0, int=5, int=6, int=4, int=3, int=4, bool=0, bool=1>(int, int, int, float const *, int, float const , int, cudnn::detail::dgrad2d_alg1_1<float, int=0, int=5, int=6, int=4, int=3, int=4, bool=0, bool=1>*, kernel_grad_params, __int64, int, __int64, int, float, int, int)"
"GPU activities",2.799273,0.869305,43755,0.019867,2.784000,0.066399,"void cudnn::winograd_nonfused::winogradWgradOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradWgradOutputParams<float, float>)"
"GPU activities",2.417473,0.750738,107593,0.006977,2.079000,0.096735,"_ZN2at6native29vectorized_elementwise_kernelILi4EZNS0_21threshold_kernel_implIfEEvRNS_14TensorIteratorET_S5_EUlffE_NS_6detail5ArrayIPcLi3EEEEEviT0_T1_"
"GPU activities",2.368483,0.735525,69475,0.010586,5.408000,0.136414,"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>)"
"GPU activities",2.271783,0.705495,69475,0.010154,5.408000,0.148190,"void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<float, float>)"
"GPU activities",1.933849,0.600550,193688,0.003100,1.279000,0.026719,"void at::native::vectorized_elementwise_kernel<int=4, at::native::MulScalarFunctor<float, float>, at::detail::Array<char*, int=2>>(int, float, float)"
